Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,151015,-,-,-,38.57,-121.5,-8,10,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Surface Albedo
2021,1,1,0,30,0,0,0,1.7000000000000002,5,0.13
2021,1,1,1,30,0,0,0,1.6,4.7,0.13
2021,1,1,2,30,0,0,0,1.5,4.2,0.13
2021,1,1,3,30,0,0,0,1.5,3.8000000000000003,0.13
2021,1,1,4,30,0,0,0,1.4000000000000001,3.8000000000000003,0.13
2021,1,1,5,30,0,0,0,1.4000000000000001,3.9000000000000004,0.13
2021,1,1,6,30,0,0,0,1.4000000000000001,3.9000000000000004,0.13
2021,1,1,7,30,10,9,88,1.7000000000000002,5.300000000000001,0.13
2021,1,1,8,30,48,42,33,2.2,8,0.13
2021,1,1,9,30,231,112,383,2.5,10.3,0.13
2021,1,1,10,30,209,186,57,2.5,12,0.13
2021,1,1,11,30,373,227,313,2.4000000000000004,13.3,0.13
2021,1,1,12,30,370,204,350,2.2,13.8,0.13
2021,1,1,13,30,372,167,471,2.1,13.5,0.13
2021,1,1,14,30,176,151,72,1.5,12.600000000000001,0.13
2021,1,1,15,30,118,91,122,1,10.8,0.13
2021,1,1,16,30,39,28,173,1.1,8.700000000000001,0.13
2021,1,1,17,30,0,0,0,1.3,7.4,0.13
2021,1,1,18,30,0,0,0,1.5,7,0.13
2021,1,1,19,30,0,0,0,1.6,7.300000000000001,0.13
2021,1,1,20,30,0,0,0,1.4000000000000001,7.5,0.13
2021,1,1,21,30,0,0,0,1.3,7.7,0.13
2021,1,1,22,30,0,0,0,1.2000000000000002,7.9,0.13
2021,1,1,23,30,0,0,0,1.2000000000000002,7.800000000000001,0.13
2021,1,2,0,30,0,0,0,1.2000000000000002,7.7,0.13
2021,1,2,1,30,0,0,0,1.1,7.7,0.13
2021,1,2,2,30,0,0,0,1,7.9,0.13
2021,1,2,3,30,0,0,0,1,8,0.13
2021,1,2,4,30,0,0,0,1.1,7.9,0.13
2021,1,2,5,30,0,0,0,1.2000000000000002,7.9,0.13
2021,1,2,6,30,0,0,0,1.2000000000000002,7.9,0.13
2021,1,2,7,30,6,6,0,1.2000000000000002,8.3,0.13
2021,1,2,8,30,39,38,3,1.4000000000000001,9.200000000000001,0.13
2021,1,2,9,30,91,87,12,1.9000000000000001,10.200000000000001,0.13
2021,1,2,10,30,184,163,50,1.9000000000000001,11.3,0.13
2021,1,2,11,30,149,138,24,1.5,12.100000000000001,0.13
2021,1,2,12,30,224,201,48,1.2000000000000002,12.200000000000001,0.13
2021,1,2,13,30,133,116,38,1,11.9,0.13
2021,1,2,14,30,108,102,17,0.7000000000000001,11.4,0.13
2021,1,2,15,30,89,81,36,0.5,10.600000000000001,0.13
2021,1,2,16,30,11,11,0,0.4,9.8,0.13
2021,1,2,17,30,0,0,0,0.4,9.4,0.13
2021,1,2,18,30,0,0,0,0.30000000000000004,9.200000000000001,0.13
2021,1,2,19,30,0,0,0,0.30000000000000004,9.1,0.13
2021,1,2,20,30,0,0,0,0.4,9,0.13
2021,1,2,21,30,0,0,0,0.6000000000000001,8.9,0.13
2021,1,2,22,30,0,0,0,0.7000000000000001,8.700000000000001,0.13
2021,1,2,23,30,0,0,0,0.7000000000000001,8.4,0.13
2021,1,3,0,30,0,0,0,0.7000000000000001,8.200000000000001,0.13
2021,1,3,1,30,0,0,0,0.6000000000000001,7.9,0.13
2021,1,3,2,30,0,0,0,0.7000000000000001,7.4,0.13
2021,1,3,3,30,0,0,0,0.7000000000000001,6.9,0.13
2021,1,3,4,30,0,0,0,0.6000000000000001,6.7,0.13
2021,1,3,5,30,0,0,0,0.4,6.800000000000001,0.13
2021,1,3,6,30,0,0,0,0.30000000000000004,6.9,0.13
2021,1,3,7,30,9,8,52,0.30000000000000004,7.6000000000000005,0.13
2021,1,3,8,30,24,24,1,0.5,9.200000000000001,0.13
2021,1,3,9,30,220,95,401,0.7000000000000001,11.3,0.13
2021,1,3,10,30,179,149,73,1,13,0.13
2021,1,3,11,30,269,193,162,1.4000000000000001,13.9,0.13
2021,1,3,12,30,302,214,184,1.4000000000000001,14.3,0.13
2021,1,3,13,30,359,171,429,1,14.4,0.13
2021,1,3,14,30,249,161,251,0.6000000000000001,14.3,0.13
2021,1,3,15,30,111,100,48,0.4,13.100000000000001,0.13
2021,1,3,16,30,22,22,1,0.5,11.200000000000001,0.12
2021,1,3,17,30,0,0,0,0.7000000000000001,10,0.12
2021,1,3,18,30,0,0,0,0.9,9.600000000000001,0.12
2021,1,3,19,30,0,0,0,1,9.5,0.12
2021,1,3,20,30,0,0,0,1,9.3,0.12
2021,1,3,21,30,0,0,0,1,9.200000000000001,0.12
2021,1,3,22,30,0,0,0,0.9,8.9,0.12
2021,1,3,23,30,0,0,0,0.9,8.6,0.12
2021,1,4,0,30,0,0,0,1,8.3,0.12
2021,1,4,1,30,0,0,0,1.4000000000000001,8.4,0.12
2021,1,4,2,30,0,0,0,2.3000000000000003,9,0.12
2021,1,4,3,30,0,0,0,2.9000000000000004,9.5,0.12
2021,1,4,4,30,0,0,0,3.5,9.8,0.12
2021,1,4,5,30,0,0,0,4.2,10,0.12
2021,1,4,6,30,0,0,0,5,10.3,0.12
2021,1,4,7,30,3,3,0,5.6000000000000005,10.600000000000001,0.12
2021,1,4,8,30,54,52,11,5.800000000000001,10.9,0.12
2021,1,4,9,30,65,64,3,5.9,11.4,0.12
2021,1,4,10,30,59,58,2,5.800000000000001,12.100000000000001,0.12
2021,1,4,11,30,151,136,31,5.7,13.5,0.12
2021,1,4,12,30,53,53,0,5.6000000000000005,14.9,0.12
2021,1,4,13,30,36,36,0,5.2,15.5,0.12
2021,1,4,14,30,231,139,259,4.4,15.100000000000001,0.12
2021,1,4,15,30,198,53,633,2.8000000000000003,13.200000000000001,0.12
2021,1,4,16,30,50,28,302,1.8,10.5,0.13
2021,1,4,17,30,0,0,0,1.6,8.9,0.13
2021,1,4,18,30,0,0,0,1.5,8.1,0.13
2021,1,4,19,30,0,0,0,1.3,7.4,0.13
2021,1,4,20,30,0,0,0,1.1,6.7,0.13
2021,1,4,21,30,0,0,0,1,6.300000000000001,0.13
2021,1,4,22,30,0,0,0,0.9,6.1000000000000005,0.13
2021,1,4,23,30,0,0,0,0.9,6.2,0.13
2021,1,5,0,30,0,0,0,0.9,6.300000000000001,0.13
2021,1,5,1,30,0,0,0,0.8,6.4,0.13
2021,1,5,2,30,0,0,0,0.7000000000000001,6.6000000000000005,0.13
2021,1,5,3,30,0,0,0,0.7000000000000001,6.7,0.13
2021,1,5,4,30,0,0,0,0.8,6.6000000000000005,0.13
2021,1,5,5,30,0,0,0,0.7000000000000001,6.300000000000001,0.13
2021,1,5,6,30,0,0,0,0.6000000000000001,5.9,0.13
2021,1,5,7,30,10,9,83,0.9,6.4,0.13
2021,1,5,8,30,141,45,553,1.3,8.200000000000001,0.13
2021,1,5,9,30,267,69,634,1.4000000000000001,10.4,0.13
2021,1,5,10,30,343,96,596,1.5,12.4,0.13
2021,1,5,11,30,288,186,216,1.4000000000000001,14,0.13
2021,1,5,12,30,497,75,876,1.4000000000000001,15,0.13
2021,1,5,13,30,449,73,850,1.6,15.4,0.13
2021,1,5,14,30,346,65,786,1.6,15,0.13
2021,1,5,15,30,203,52,653,1.3,12.8,0.13
2021,1,5,16,30,52,28,326,1.1,9.9,0.12
2021,1,5,17,30,0,0,0,1.1,8.3,0.12
2021,1,5,18,30,0,0,0,1,7.6000000000000005,0.12
2021,1,5,19,30,0,0,0,0.9,7.2,0.12
2021,1,5,20,30,0,0,0,0.8,7.5,0.12
2021,1,5,21,30,0,0,0,0.7000000000000001,7.9,0.12
2021,1,5,22,30,0,0,0,0.7000000000000001,7.6000000000000005,0.12
2021,1,5,23,30,0,0,0,0.7000000000000001,6.800000000000001,0.12
2021,1,6,0,30,0,0,0,0.7000000000000001,6.300000000000001,0.12
2021,1,6,1,30,0,0,0,0.6000000000000001,6.1000000000000005,0.12
2021,1,6,2,30,0,0,0,0.6000000000000001,6.2,0.12
2021,1,6,3,30,0,0,0,0.7000000000000001,5.9,0.12
2021,1,6,4,30,0,0,0,0.8,5.6000000000000005,0.12
2021,1,6,5,30,0,0,0,1.1,5.4,0.12
2021,1,6,6,30,0,0,0,1.3,5.4,0.12
2021,1,6,7,30,6,6,0,1.3,6,0.12
2021,1,6,8,30,61,59,9,1.3,7.5,0.12
2021,1,6,9,30,120,114,20,1.2000000000000002,9,0.12
2021,1,6,10,30,217,196,51,1,10.4,0.12
2021,1,6,11,30,308,221,183,1,11.4,0.12
2021,1,6,12,30,360,222,285,1.2000000000000002,12.100000000000001,0.12
2021,1,6,13,30,105,99,13,1.5,12.4,0.12
2021,1,6,14,30,267,108,443,1.4000000000000001,12.700000000000001,0.12
2021,1,6,15,30,205,51,660,0.9,11.600000000000001,0.12
2021,1,6,16,30,45,31,176,0.6000000000000001,9.9,0.12
2021,1,6,17,30,0,0,0,0.7000000000000001,8.8,0.12
2021,1,6,18,30,0,0,0,0.7000000000000001,7.9,0.12
2021,1,6,19,30,0,0,0,0.8,7.2,0.12
2021,1,6,20,30,0,0,0,1,6.800000000000001,0.12
2021,1,6,21,30,0,0,0,1.1,6.5,0.12
2021,1,6,22,30,0,0,0,1.1,6.300000000000001,0.12
2021,1,6,23,30,0,0,0,1.1,6.300000000000001,0.12
2021,1,7,0,30,0,0,0,1.2000000000000002,6.300000000000001,0.12
2021,1,7,1,30,0,0,0,1.1,6.2,0.12
