Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,223326,-,-,-,32.73,-117.14,-8,78,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Surface Albedo
2019,1,1,0,30,0,0,0,5.1000000000000005,9.1,0.15
2019,1,1,1,30,0,0,0,4.9,8.9,0.15
2019,1,1,2,30,0,0,0,4.7,8.700000000000001,0.15
2019,1,1,3,30,0,0,0,4.7,8.5,0.15
2019,1,1,4,30,0,0,0,4.800000000000001,8.3,0.15
2019,1,1,5,30,0,0,0,4.800000000000001,8,0.15
2019,1,1,6,30,0,0,0,5,8.3,0.15
2019,1,1,7,30,92,33,531,5.6000000000000005,9.600000000000001,0.15
2019,1,1,8,30,281,52,811,6.5,11.200000000000001,0.15
2019,1,1,9,30,449,62,922,6.800000000000001,12.4,0.15
2019,1,1,10,30,568,68,972,6.4,13.200000000000001,0.15
2019,1,1,11,30,626,71,990,5.9,13.8,0.15
2019,1,1,12,30,616,73,981,5.5,14.100000000000001,0.15
2019,1,1,13,30,540,73,944,5.4,14.100000000000001,0.15
2019,1,1,14,30,405,67,872,5.4,13.600000000000001,0.15
2019,1,1,15,30,228,54,723,4.9,12.200000000000001,0.15
2019,1,1,16,30,48,26,333,4.4,10.3,0.15
2019,1,1,17,30,0,0,0,4.2,9,0.15
2019,1,1,18,30,0,0,0,4,8.3,0.15
2019,1,1,19,30,0,0,0,3.9000000000000004,7.9,0.15
2019,1,1,20,30,0,0,0,3.6,7.6000000000000005,0.15
2019,1,1,21,30,0,0,0,3.4000000000000004,7.5,0.15
2019,1,1,22,30,0,0,0,3.3000000000000003,7.4,0.15
2019,1,1,23,30,0,0,0,3.3000000000000003,7.5,0.15
2019,1,2,0,30,0,0,0,3.1,7.7,0.15
2019,1,2,1,30,0,0,0,2.7,8,0.15
2019,1,2,2,30,0,0,0,2.4000000000000004,8.200000000000001,0.15
2019,1,2,3,30,0,0,0,2.3000000000000003,8.200000000000001,0.15
2019,1,2,4,30,0,0,0,2.2,8.3,0.15
2019,1,2,5,30,0,0,0,2.1,8.5,0.15
2019,1,2,6,30,0,0,0,2.1,9.200000000000001,0.15
2019,1,2,7,30,86,34,462,2.4000000000000004,11,0.15
2019,1,2,8,30,273,48,798,3,12.9,0.15
2019,1,2,9,30,438,57,906,3.4000000000000004,14.100000000000001,0.15
2019,1,2,10,30,556,63,957,3.3000000000000003,14.8,0.15
2019,1,2,11,30,617,66,981,2.9000000000000004,15.4,0.15
2019,1,2,12,30,609,68,974,2.5,15.700000000000001,0.15
2019,1,2,13,30,535,69,938,2.3000000000000003,15.700000000000001,0.15
2019,1,2,14,30,402,65,865,2.1,15.200000000000001,0.15
2019,1,2,15,30,227,54,713,1.6,13.5,0.15
2019,1,2,16,30,49,27,323,1.2000000000000002,11.5,0.15
2019,1,2,17,30,0,0,0,1.3,10.600000000000001,0.15
2019,1,2,18,30,0,0,0,1.5,10.200000000000001,0.15
2019,1,2,19,30,0,0,0,1.7000000000000002,10,0.15
2019,1,2,20,30,0,0,0,1.9000000000000001,9.8,0.15
2019,1,2,21,30,0,0,0,2.1,9.5,0.15
2019,1,2,22,30,0,0,0,2.3000000000000003,9.200000000000001,0.15
2019,1,2,23,30,0,0,0,2.7,8.8,0.15
2019,1,3,0,30,0,0,0,2.8000000000000003,8.6,0.15
2019,1,3,1,30,0,0,0,2.7,8.5,0.15
2019,1,3,2,30,0,0,0,2.5,8.4,0.15
2019,1,3,3,30,0,0,0,2.6,8.200000000000001,0.15
2019,1,3,4,30,0,0,0,2.6,8.1,0.15
2019,1,3,5,30,0,0,0,2.6,7.9,0.15
2019,1,3,6,30,0,0,0,2.8000000000000003,8.5,0.15
2019,1,3,7,30,93,32,548,3.3000000000000003,10.4,0.15
2019,1,3,8,30,280,50,814,3.7,12.8,0.15
2019,1,3,9,30,447,59,922,3.4000000000000004,14.700000000000001,0.15
2019,1,3,10,30,567,65,972,2.8000000000000003,16.1,0.15
2019,1,3,11,30,626,68,992,2.2,17,0.15
2019,1,3,12,30,618,67,989,1.8,17.5,0.15
2019,1,3,13,30,545,65,962,1.6,17.6,0.15
2019,1,3,14,30,413,60,900,1.5,17.1,0.15
